frame,x1,y1,x2,y2
395,610,155,639,228,0
396,586,141,638,232,1
397,545,139,634,236,2
398,519,150,610,231,3
399,485,147,582,231,4
400,456,151,551,229,5
401,414,153,517,236,6
402,376,148,487,236,7
403,350,157,446,243,8
404,312,158,407,239,9
405,283,161,366,241,10
406,247,162,346,244,11
407,211,164,317,240,12
408,176,169,283,251,13
409,155,170,253,251,14
410,116,175,212,251,15
411,88,180,176,250,16
412,57,180,142,260,17
413,23,181,107,264,18
414,11,187,80,265,19
415,13,188,60,219,20
423,619,118,638,158,21
424,589,122,639,191,22
425,541,125,631,192,23
426,504,127,596,200,24
427,473,134,558,199,25
428,429,134,512,199,26
429,389,139,487,211,27
430,344,140,433,205,28
431,310,143,398,215,29
432,269,148,354,217,30
433,232,155,317,219,31
434,190,156,282,223,32
435,153,160,237,228,33
436,112,162,199,225,34
437,75,164,163,230,35
438,37,170,106,233,36
439,11,174,68,230,37
438,620,103,638,135,38
439,582,107,639,158,39
440,542,105,638,186,40
441,491,110,607,184,41
442,455,112,562,189,42
443,413,116,536,197,43
444,365,112,486,194,44
445,322,119,450,202,45
446,282,125,404,203,46
447,228,128,363,209,47
448,198,133,318,211,48
449,150,136,277,215,49
450,109,139,231,219,50
451,70,140,191,219,51
452,33,144,156,225,52
453,7,154,106,224,53
454,2,167,70,232,54
411,602,149,638,323,55
412,557,152,614,312,56
413,538,167,568,316,57
414,498,177,544,315,58
415,456,178,497,337,59
416,419,172,463,332,60
417,386,182,425,330,61
418,350,181,385,341,62
419,315,181,348,342,63
420,268,190,307,344,64
421,232,190,277,348,65
422,204,200,234,342,66
423,149,203,192,351,67
424,118,206,154,359,68
425,76,211,115,356,69
426,43,220,79,364,70
494,601,45,639,70,71
495,562,47,634,108,72
496,520,49,639,137,73
497,476,51,637,165,74
498,438,56,638,210,75
499,393,66,595,218,76
500,335,66,556,217,77
501,293,70,511,216,78
502,245,74,464,224,79
503,205,80,421,228,80
504,159,82,375,228,81
505,110,89,332,238,82
506,63,93,284,232,83
507,20,93,218,243,84
508,10,103,175,249,85
509,6,150,114,242,86
510,13,183,62,246,87
513,597,123,639,179,88
514,536,123,611,186,89
515,472,112,567,185,90
516,416,122,522,194,91
517,368,105,480,196,92
518,314,116,434,195,93
519,255,114,373,204,94
520,224,120,321,202,95
520,602,43,634,73,101
521,170,122,269,206,96
521,547,32,637,78,102
522,126,129,239,209,97
522,491,7,635,81,103
523,78,137,163,213,98
523,440,12,599,85,104
524,41,137,119,208,99
524,390,13,542,91,105
525,8,143,51,208,100
525,346,19,490,94,106
526,291,21,444,85,107
527,245,20,401,105,108
528,196,24,360,103,109
529,595,283,639,361,110
529,604,389,639,418,111
529,142,33,305,104,112
530,97,32,252,110,113
530,539,267,638,416,114
531,65,31,201,110,115
531,494,266,638,418,116
532,41,52,157,100,117
532,437,270,604,418,118
533,11,45,119,105,119
533,398,274,559,418,120
534,5,54,78,92,121
534,346,277,510,417,122
535,303,280,472,414,123
536,251,282,425,415,124
537,201,281,374,416,125
538,154,292,318,417,126
539,104,285,274,418,127
540,62,291,225,412,128
541,33,304,181,416,129
542,12,303,132,419,130
543,16,303,87,412,131
551,622,53,639,79,132
552,571,43,636,87,133
553,529,37,638,92,134
554,479,20,638,104,135
555,414,17,639,95,136
556,382,22,590,96,137
557,330,29,524,100,138
558,289,37,469,104,139
559,244,32,419,112,140
560,189,38,361,111,141
561,137,43,315,115,142
562,97,43,263,118,143
563,51,45,230,122,144
564,15,53,161,121,145
565,3,57,97,125,146
566,5,63,56,121,147
604,575,271,637,322,148
